video_id,kf_name,frame_idx,pts_time,corr,bien_do,corr_lech_-1,corr_lech_+1,ket_luan
L21_V001,064.jpg,7923,264.1,0.9997,0.9608,-0.0446,0.0389,KHOP
L21_V002,086.jpg,9483,316.1,0.9998,0.3559,0.0246,0.6439,KHOP
L21_V003,062.jpg,6162,246.48,0.999,0.1231,0.139,0.8759,KHOP
L21_V005,117.jpg,14658,488.6,0.9999,0.8398,0.0395,0.16,KHOP
L21_V006,090.jpg,9903,330.1,0.9985,0.9083,0.0902,0.0757,KHOP
L21_V007,019.jpg,2067,68.9,0.9998,0.4996,0.5002,0.1098,KHOP
L21_V008,124.jpg,13230,529.2,0.9996,0.0624,0.9372,0.1958,KHOP
L21_V009,067.jpg,6373,254.92,0.9999,0.7506,0.0427,0.2493,KHOP
L21_V010,072.jpg,7530,301.2,0.9995,0.7023,0.1938,0.2972,KHOP
L21_V011,003.jpg,265,10.6,0.9982,0.5604,0.4379,0.143,KHOP
L21_V012,191.jpg,23499,783.3,0.9998,0.4649,0.328,0.5349,KHOP
L21_V013,091.jpg,10671,355.73,0.9998,0.5163,0.3142,0.4834,KHOP
L21_V014,123.jpg,13374,445.8,0.9988,0.2419,0.757,0.0613,KHOP
L21_V015,174.jpg,21806,726.87,0.9895,0.9418,-0.105,0.0478,KHOP
L21_V016,028.jpg,2888,96.27,0.9991,0.0169,0.9801,0.9822,KHOP
L21_V017,047.jpg,4530,181.2,0.9949,0.6786,0.3163,0.0812,KHOP
L21_V018,066.jpg,6380,255.2,0.9983,1.1087,-0.1104,-0.1233,KHOP
L21_V019,078.jpg,8766,292.23,0.9996,0.5446,0.408,0.455,KHOP
L21_V021,067.jpg,8499,283.33,0.9997,0.1077,0.2814,0.892,KHOP
L21_V022,182.jpg,23384,779.47,0.9991,0.052,0.2966,0.9471,KHOP
L21_V023,222.jpg,28554,951.83,0.9997,0.3424,0.2005,0.6572,KHOP
L21_V024,225.jpg,23115,924.6,0.9986,0.7913,0.0754,0.2072,KHOP
L21_V025,149.jpg,14469,578.8,0.9996,0.1402,0.3457,0.8595,KHOP
L21_V026,088.jpg,10077,335.9,0.9996,0.8656,-0.1876,0.134,KHOP
L21_V027,050.jpg,5757,191.93,0.9995,0.1701,0.8294,0.0581,KHOP
L21_V028,130.jpg,16179,539.33,0.9995,0.1917,0.3397,0.8078,KHOP
L21_V029,158.jpg,18645,621.53,0.9996,0.8295,0.0234,0.1701,KHOP
L21_V030,004.jpg,432,14.43,0.9983,0.0305,0.9678,0.2103,KHOP
L21_V031,244.jpg,23310,932.4,0.9968,0.3432,0.6537,0.0037,KHOP
L22_V001,160.jpg,18695,623.17,0.8746,0.7365,0.1381,-0.0746,KHOP_YEU
L22_V002,072.jpg,5250,210.0,0.9978,0.5229,0.4749,0.4127,KHOP
L22_V003,194.jpg,18701,748.04,0.9995,0.9311,-0.0331,0.0684,KHOP
L22_V004,306.jpg,36468,1215.6,0.9994,1.1354,-0.136,-0.2272,KHOP
L22_V005,210.jpg,25131,837.73,0.9968,0.0296,0.9672,0.4414,KHOP
L22_V006,182.jpg,20511,683.73,0.9998,0.1341,0.3713,0.8657,KHOP
L22_V007,091.jpg,8809,352.36,0.9994,0.8617,0.0004,0.1378,KHOP
L22_V008,097.jpg,9660,386.4,0.9996,0.1033,0.8963,0.8636,KHOP
L22_V009,160.jpg,14790,591.6,0.9961,0.8472,0.1289,0.1489,KHOP
L22_V010,101.jpg,10135,405.4,0.999,0.6397,0.1222,0.3593,KHOP
L22_V011,257.jpg,30615,1020.53,0.9995,0.2938,0.7057,0.3537,KHOP
L22_V012,128.jpg,16227,540.9,0.9992,0.4836,0.4334,0.5156,KHOP
L22_V013,112.jpg,11871,395.7,0.9976,0.1344,0.8632,0.226,KHOP
L22_V014,228.jpg,26727,890.93,0.996,0.0145,0.9816,0.3488,KHOP
L22_V015,140.jpg,17330,577.67,0.9988,0.4459,0.3369,0.5528,KHOP
L22_V016,303.jpg,29917,1196.68,0.9997,0.6454,0.3542,0.3211,KHOP
L22_V017,221.jpg,23550,942.0,0.9969,0.0066,0.9903,0.3553,KHOP
L22_V018,161.jpg,17360,578.67,0.999,0.6397,0.3593,0.0867,KHOP
L22_V019,238.jpg,28298,943.27,0.9963,0.0215,0.9748,0.3924,KHOP
L22_V020,111.jpg,13490,449.67,0.999,0.7758,0.2233,0.1215,KHOP
L22_V021,002.jpg,90,3.0,0.9965,0.7177,0.0894,0.2789,KHOP
L22_V022,029.jpg,2840,94.67,0.9982,0.8546,0.1436,-0.0262,KHOP
L22_V023,157.jpg,15900,636.0,0.997,0.0981,0.1919,0.899,KHOP
L22_V024,028.jpg,2520,100.8,0.9979,0.2317,0.7662,0.342,KHOP
L22_V025,133.jpg,14544,484.8,0.9997,1.0237,-0.0358,-0.024,KHOP
L22_V026,069.jpg,8075,269.17,0.9991,0.7997,0.1994,0.0724,KHOP
L22_V027,207.jpg,25652,855.07,0.9973,0.0079,0.971,0.9894,KHOP
L22_V028,124.jpg,15477,515.93,0.9997,0.8449,0.1548,0.0394,KHOP
L22_V029,088.jpg,9386,312.87,0.9995,0.6657,0.1337,0.3338,KHOP
L22_V030,209.jpg,19944,797.76,0.9991,0.0468,0.9523,0.2187,KHOP
L22_V031,027.jpg,2520,100.8,0.9995,0.443,0.5565,0.4278,KHOP
