L24_V021,2432,15960,16112,16568
L24_V015,1178,1767,2356,10121
L24_V019,9992,10032,10184,10335
L24_V037,3008,8360,8784,18087
L24_V022,1824,3344,5415,5472
L24_V044,79,528,792,926
L24_V018,1984,10664,12152,13391
L22_V020,10961,14615,15351,15671
L24_V025,2812,5623,8435,11247
L24_V040,226,451,677,902
L24_V016,10416,12890,13268,13516
L24_V035,3285,4343,4407,13437
L24_V032,9862,11036,11780,17608
L24_V026,387,774,1161,1548
L24_V014,5371,7161,11583,11800
L24_V036,151,227,303,1368
L24_V033,9860,12464,15756,16187
L24_V020,5592,8388,11184,12074
L24_V005,1178,1767,2356,5654
L24_V038,2783,4175,5567,7975
L24_V008,9300,12400,13641,13734
L24_V029,6079,9119,12159,13261
L24_V011,6789,9052,14412,14508
L24_V028,5624,7898,10172,14439
L24_V045,189,378,567,756
L24_V024,875,1167,5093,9019
L24_V039,1786,3571,5357,7143
L29_V005,13132,17509,18069,18630
L24_V004,2784,5568,8352,11136
L24_V042,553,830,1107,4972
L21_V006,2871,5742,8613,11484
L24_V002,1907,3814,5721,7628
L22_V011,6098,12197,18295,24393
L24_V003,3775,7551,11326,15101
L21_V023,6561,13122,19683,26244
L24_V017,798,1596,2394,3192
L24_V031,3040,6079,9119,12159
L22_V019,4000,7999,11998,15998
L21_V001,7543,15086,22630,30173
L21_V016,6302,12603,18905,25206
L21_V031,5483,10966,16448,21931
L22_V014,6786,13572,20358,27144
L22_V029,6291,12582,18873,25164
L23_V011,2006,4011,6017,8022
L23_V024,1975,3950,5925,7900
L25_V001,8012,16024,24037,32049
L25_V014,9537,19074,28611,38148
L25_V027,8895,17790,26684,35579
L25_V040,6973,13947,20920,27894
L25_V053,5085,10170,15255,20340
L25_V066,7396,14793,22189,29586
L25_V079,5205,10410,15615,20820
L26_V004,1471,2942,4413,5884
L26_V017,1498,2996,4494,5992
L26_V030,1363,2726,4089,5452
L26_V043,1539,3078,4617,6156
L26_V056,1587,3174,4762,6349
L26_V069,1637,3274,4910,6547
L26_V082,1613,3226,4838,6451
L26_V095,1613,3226,4838,6451
L26_V108,1587,3174,4762,6349
L26_V121,1613,3226,4838,6451
L26_V134,1613,3226,4838,6451
L26_V147,1613,3226,4838,6451
L26_V160,1587,3174,4762,6349
L26_V173,1587,3174,4762,6349
L26_V186,1587,3174,4762,6349
L26_V199,1587,3174,4762,6349
L26_V212,1613,3226,4838,6451
L26_V225,1587,3174,4762,6349
L26_V238,1536,3072,4608,6144
L26_V251,1587,3174,4762,6349
L26_V264,1613,3226,4838,6451
L26_V277,1613,3226,4838,6451
L26_V290,1562,3123,4685,6246
L26_V303,1562,3123,4685,6246
L26_V316,1613,3226,4838,6451
L26_V329,1536,3072,4608,6144
L26_V342,1536,3072,4608,6144
L26_V355,1510,3021,4531,6042
L26_V368,1536,3072,4608,6144
L26_V381,1510,3021,4531,6042
L26_V394,1510,3021,4531,6042
L26_V407,1536,3072,4608,6144
L26_V421,1536,3072,4608,6144
L26_V434,1664,3328,4992,6656
L26_V447,1587,3174,4762,6349
L26_V460,1434,2867,4301,5734
L26_V473,1459,2918,4377,5836
L26_V486,1538,3075,4613,6150
L26_V499,1538,3075,4613,6150
L27_V013,2835,5670,8505,11340
L28_V010,5602,11204,16806,22408
L28_V023,5454,10908,16362,21816
L29_V013,5346,10692,16038,21384
L30_V003,1597,3194,4790,6387
L30_V016,690,1380,2070,2760
L30_V029,1531,3062,4593,6124
L30_V042,525,1050,1576,2101
L30_V055,1060,2120,3180,4240
